Date,Product type,SKU,Daily Sales,Stock Level,Price,Revenue Generated,Season,Demand Factor
2024-09-20,skincare,SKU35,6,999994,93.96,563.76,Summer,1.3386178857535795
2024-09-21,skincare,SKU35,2,999992,93.96,187.92,Summer,1.3386178857535795
2024-09-22,skincare,SKU35,4,999988,93.96,375.84,Summer,1.3386178857535795
2024-09-23,skincare,SKU35,2,999986,93.96,187.92,Summer,1.3386178857535795
2024-09-24,skincare,SKU35,2,999984,93.96,187.92,Summer,1.3386178857535795
2024-09-25,skincare,SKU35,5,999979,93.96,469.79999999999995,Summer,1.3386178857535795
2024-09-26,skincare,SKU35,4,999975,93.96,375.84,Summer,1.3386178857535795
2024-09-27,skincare,SKU35,4,999971,93.96,375.84,Summer,1.3386178857535795
2024-09-28,skincare,SKU35,3,999968,93.96,281.88,Summer,1.3386178857535795
2024-09-29,skincare,SKU35,7,999961,93.96,657.7199999999999,Summer,1.3386178857535795
2024-09-30,skincare,SKU35,3,999958,93.96,281.88,Summer,1.3386178857535795
2024-10-01,skincare,SKU35,5,999953,93.96,469.79999999999995,Summer,1.3386178857535795
2024-10-02,skincare,SKU35,7,999946,93.96,657.7199999999999,Summer,1.3386178857535795
2024-10-03,skincare,SKU35,3,999943,93.96,281.88,Summer,1.3386178857535795
2024-10-04,skincare,SKU35,3,999940,93.96,281.88,Summer,1.3386178857535795
2024-10-05,skincare,SKU35,5,999935,93.96,469.79999999999995,Summer,1.3386178857535795
2024-10-06,skincare,SKU35,9,999926,93.96,845.64,Summer,1.3386178857535795
2024-10-07,skincare,SKU35,1,999925,93.96,93.96,Summer,1.3386178857535795
2024-10-08,skincare,SKU35,4,999921,93.96,375.84,Summer,1.3386178857535795
2024-10-09,skincare,SKU35,3,999918,93.96,281.88,Summer,1.3386178857535795
2024-10-10,skincare,SKU35,5,999913,93.96,469.79999999999995,Summer,1.3386178857535795
2024-10-11,skincare,SKU35,2,999911,93.96,187.92,Summer,1.3386178857535795
