Product type,SKU,Price,Availability,Number of products sold,Revenue generated,Customer demographics,Stock levels,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates,Transportation modes,Routes,Costs,Season,Demand Factor
skincare,SKU35,93.96,92,3.0,5.645022779449278,Male,3.1354942159291497,20,26,5,Carrier D,40.17,Supplier 1,Mumbai,278,15,29.51,Pending,4.264,Rail,Route A,275.94,Summer,1.3386178857535795
haircare,SKU1,27.64,150,2.0,4.030339232246188,Female,4.969813299576001,7,31,8,Carrier A,37.65,Supplier 2,Mumbai,684,12,26.8,Fail,3.083,Road,Route A,235.48,Fall,0.938522459001286
haircare,SKU44,24.85,106,92.0,7.735083641008102,Female,3.912023005428146,14,17,3,Carrier E,7.65,Supplier 1,Bangalore,176,15,36.2,Pending,4.305,Rail,Route C,270.39,Fall,1.1825183086383102
skincare,SKU0,79.75,63,34.0,7.905625997848715,Female,3.9318256327243257,17,13,4,Carrier E,24.3,Supplier 2,Bangalore,113,16,34.82,Fail,3.248,Rail,Route B,388.13,Summer,1.505568255922802
skincare,SKU14,46.06,150,13.0,6.396562921310821,Male,4.976733742420574,25,35,2,Carrier C,35.77,Supplier 2,Mumbai,303,7,29.24,Pass,1.105,Air,Route B,414.97,Fall,1.1358480221186935
skincare,SKU82,25.96,185,27.0,6.5538194374179035,Unknown,4.59511985013459,7,7,5,Carrier C,98.39,Supplier 1,Delhi,125,8,27.99,Fail,4.5,Air,Route A,354.85,Winter,1.4430962967069083
skincare,SKU23,46.32,82,3.0,4.9413566674994875,Unknown,4.02535169073515,24,3,8,Carrier B,32.67,Supplier 1,Mumbai,704,16,15.6,Pass,0.056,Road,Route B,179.88,Fall,1.1380047432780789
haircare,SKU93,5.57,66,49.0,5.612872599296359,Male,3.871201010907891,21,47,10,Carrier A,9.13,Supplier 2,Mumbai,491,13,42.51,Fail,2.034,Road,Route A,328.73,Winter,1.2130069590879569
haircare,SKU80,47.25,96,73.0,8.14620197116815,Male,4.127134385045092,17,7,7,Carrier B,40.11,Supplier 2,Bangalore,990,13,29.12,Pending,2.557,Road,Route C,222.79,Fall,0.9337612135388716
skincare,SKU45,31.03,127,55.0,7.44287343531716,Female,3.295836866004329,24,47,4,Carrier C,70.82,Supplier 3,Delhi,684,9,28.25,Pending,3.806,Air,Route A,458.42,Spring,0.9379940657326294
haircare,SKU94,16.53,37,34.0,6.333315151487414,Non-binary,3.4339872044851463,30,4,1,Carrier C,85.21,Supplier 3,Mumbai,896,8,35.88,Pass,0.088,Air,Route C,264.84,Spring,1.020285368181013
haircare,SKU71,17.89,91,68.0,7.104571281926544,Female,4.356708826689592,7,10,3,Carrier C,54.36,Supplier 2,Mumbai,203,5,15.52,Pass,1.79,Air,Route C,482.07,Fall,1.1221022216738277
skincare,SKU4,41.09,173,48.0,7.5874726824303576,Unknown,5.049856007249537,18,40,9,Carrier A,46.19,Supplier 2,Delhi,517,15,47.71,Pending,2.101,Road,Route A,365.72,Summer,1.3588346627217451
skincare,SKU72,49.92,162,145.0,8.887293609017433,Unknown,2.772588722239781,11,18,3,Carrier D,28.05,Supplier 3,Delhi,233,9,11.1,Fail,4.687,Rail,Route B,227.53,Fall,0.9902934580778346
haircare,SKU43,49.98,16,4.0,5.302906818881844,Non-binary,2.5649493574615367,26,6,10,Carrier B,30.35,Supplier 1,Mumbai,551,15,35.92,Pass,1.603,Road,Route A,374.55,Spring,1.0722092664128586
skincare,SKU75,42.91,110,51.0,7.691387380121431,Unknown,3.4339872044851463,29,19,7,Carrier E,39.38,Supplier 3,Mumbai,306,6,34.16,Pending,4.203,Rail,Route B,257.36,Winter,1.2048107072661114
haircare,SKU36,6.49,146,127.0,6.7156621353593495,Non-binary,4.174387269895637,10,3,3,Carrier E,40.28,Supplier 1,Mumbai,861,9,13.86,Pass,0.85,Rail,Route B,140.7,Fall,0.9429933689198696
skincare,SKU56,51.82,128,92.0,8.469774486366669,Female,4.51085950651685,10,6,7,Carrier B,49.03,Supplier 1,Delhi,259,19,15.33,Pass,1.675,Road,Route A,204.09,Spring,0.9292245554994172
skincare,SKU11,35.95,87,84.0,8.013276975951182,Unknown,3.6375861597263857,28,12,3,Carrier C,25.9,Supplier 3,Mumbai,433,7,35.45,Pending,2.57,Air,Route C,459.1,Fall,1.016243409324889
skincare,SKU66,45.13,178,141.0,8.758464242293057,Non-binary,4.543294782270004,26,5,6,Carrier D,41.54,Supplier 2,Mumbai,449,8,29.37,Fail,3.412,Rail,Route B,342.52,Summer,1.4987849690315422
haircare,SKU2,23.68,23,11.0,5.566357798744529,Male,2.833213344056216,12,7,3,Carrier D,43.06,Supplier 3,Mumbai,556,14,15.56,Pass,1.39,Rail,Route C,368.18,Winter,1.3886433226589552
haircare,SKU49,25.51,96,94.0,7.78278225210592,Female,4.110873864173311,17,26,4,Carrier C,56.79,Supplier 1,Bangalore,826,7,31.43,Pass,0.703,Air,Route C,264.04,Summer,1.3298629985946853
haircare,SKU72,25.29,83,20.0,6.228116448446984,Female,4.0943445622221,23,24,7,Carrier B,18.3,Supplier 3,Bangalore,448,16,21.37,Fail,2.489,Road,Route A,291.62,Spring,1.096802134279972
