Product type,SKU,Price,Availability,Number of products sold,Revenue generated,Customer demographics,Stock levels,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Lead time,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates,Transportation modes,Routes,Costs,Season,Demand Factor
skincare,SKU35,93.96,92,3,281.88,Male,22,20,26,5,Carrier D,40.17,Supplier 1,Mumbai,20,278,15,29.51,Pending,4.264,Rail,Route A,275.94,Summer,1.3386178857535795
haircare,SKU1,27.64,150,2,55.28,Female,143,7,31,8,Carrier A,37.65,Supplier 2,Mumbai,7,684,12,26.8,Fail,3.083,Road,Route A,235.48,Fall,0.9385224590012861
haircare,SKU44,24.85,106,92,2286.2,Female,49,14,17,3,Carrier E,7.65,Supplier 1,Bangalore,14,176,15,36.2,Pending,4.305,Rail,Route C,270.39,Fall,1.1825183086383102
skincare,SKU0,79.75,63,34,2711.5,Female,50,17,13,4,Carrier E,24.3,Supplier 2,Bangalore,17,113,16,34.82,Fail,3.248,Rail,Route B,388.13,Summer,1.5055682559228019
skincare,SKU14,46.06,150,13,598.78,Male,144,25,35,2,Carrier C,35.77,Supplier 2,Mumbai,25,303,7,29.24,Pass,1.105,Air,Route B,414.97,Fall,1.1358480221186937
skincare,SKU82,25.96,185,27,700.92,Unknown,98,7,7,5,Carrier C,98.39,Supplier 1,Delhi,7,125,8,27.99,Fail,4.5,Air,Route A,354.85,Winter,1.4430962967069085
skincare,SKU23,46.32,82,3,138.96,Unknown,55,24,3,8,Carrier B,32.67,Supplier 1,Mumbai,24,704,16,15.6,Pass,0.056,Road,Route B,179.88,Fall,1.1380047432780789
haircare,SKU93,5.57,66,49,272.93,Male,47,21,47,10,Carrier A,9.13,Supplier 2,Mumbai,21,491,13,42.51,Fail,2.034,Road,Route A,328.73,Winter,1.2130069590879569
haircare,SKU80,47.25,96,73,3449.25,Male,61,17,7,7,Carrier B,40.11,Supplier 2,Bangalore,17,990,13,29.12,Pending,2.557,Road,Route C,222.79,Fall,0.9337612135388715
skincare,SKU45,31.03,127,55,1706.65,Female,26,24,47,4,Carrier C,70.82,Supplier 3,Delhi,24,684,9,28.25,Pending,3.806,Air,Route A,458.42,Spring,0.9379940657326294
haircare,SKU94,16.53,37,34,562.02,Non-binary,30,30,4,1,Carrier C,85.21,Supplier 3,Mumbai,30,896,8,35.88,Pass,0.088,Air,Route C,264.84,Spring,1.0202853681810127
haircare,SKU71,17.89,91,68,1216.52,Female,77,7,10,3,Carrier C,54.36,Supplier 2,Mumbai,7,203,5,15.52,Pass,1.79,Air,Route C,482.07,Fall,1.1221022216738277
skincare,SKU4,41.09,173,48,1972.32,Unknown,155,18,40,9,Carrier A,46.19,Supplier 2,Delhi,18,517,15,47.71,Pending,2.101,Road,Route A,365.72,Summer,1.3588346627217451
skincare,SKU72,49.92,162,145,7238.4,Unknown,15,11,18,3,Carrier D,28.05,Supplier 3,Delhi,11,233,9,11.1,Fail,4.687,Rail,Route B,227.53,Fall,0.9902934580778346
haircare,SKU43,49.98,16,4,199.92,Non-binary,12,26,6,10,Carrier B,30.35,Supplier 1,Mumbai,26,551,15,35.92,Pass,1.603,Road,Route A,374.55,Spring,1.0722092664128586
skincare,SKU75,42.91,110,51,2188.41,Unknown,30,29,19,7,Carrier E,39.38,Supplier 3,Mumbai,29,306,6,34.16,Pending,4.203,Rail,Route B,257.36,Winter,1.2048107072661114
haircare,SKU36,6.49,146,127,824.23,Non-binary,64,10,3,3,Carrier E,40.28,Supplier 1,Mumbai,10,861,9,13.86,Pass,0.85,Rail,Route B,140.7,Fall,0.9429933689198697
skincare,SKU56,51.82,128,92,4767.44,Female,90,10,6,7,Carrier B,49.03,Supplier 1,Delhi,10,259,19,15.33,Pass,1.675,Road,Route A,204.09,Spring,0.9292245554994172
skincare,SKU11,35.95,87,84,3019.8,Unknown,37,28,12,3,Carrier C,25.9,Supplier 3,Mumbai,28,433,7,35.45,Pending,2.57,Air,Route C,459.1,Fall,1.0162434093248893
skincare,SKU66,45.13,178,141,6363.33,Non-binary,93,26,5,6,Carrier D,41.54,Supplier 2,Mumbai,26,449,8,29.37,Fail,3.412,Rail,Route B,342.52,Summer,1.4987849690315422
haircare,SKU2,23.68,23,11,260.48,Male,16,12,7,3,Carrier D,43.06,Supplier 3,Mumbai,12,556,14,15.56,Pass,1.39,Rail,Route C,368.18,Winter,1.3886433226589552
haircare,SKU49,25.51,96,94,2397.94,Female,60,17,26,4,Carrier C,56.79,Supplier 1,Bangalore,17,826,7,31.43,Pass,0.703,Air,Route C,264.04,Summer,1.3298629985946853
haircare,SKU72,25.29,83,20,505.8,Female,59,23,24,7,Carrier B,18.3,Supplier 3,Bangalore,23,448,16,21.37,Fail,2.489,Road,Route A,291.62,Spring,1.096802134279972
haircare,SKU66,11.25,118,82,922.5,Male,52,20,25,2,Carrier C,37.52,Supplier 2,Delhi,20,412,8,20.22,Pending,2.18,Air,Route A,119.44,Spring,0.8748321827742428
skincare,SKU30,80.14,178,100,8014.0,Unknown,44,24,16,3,Carrier E,16.74,Supplier 3,Bangalore,24,164,9,19.76,Pending,2.283,Rail,Route A,100.47,Spring,0.800432221713551
skincare,SKU15,42.45,51,39,1655.55,Male,43,11,16,9,Carrier B,35.04,Supplier 1,Delhi,11,535,6,13.8,Pass,0.129,Road,Route B,261.39,Spring,0.8194534857858162
skincare,SKU25,49.01,82,41,2009.41,Non-binary,14,16,10,5,Carrier C,78.67,Supplier 2,Mumbai,16,835,14,42.09,Fail,3.637,Air,Route A,166.71,Winter,1.330435556491023
skincare,SKU75,55.31,47,8,442.48,Unknown,11,15,34,5,Carrier A,46.11,Supplier 2,Delhi,15,322,10,44.94,Fail,3.813,Road,Route A,182.54,Spring,0.9753565467526499
skincare,SKU32,84.08,73,27,2270.16,Male,68,14,24,4,Carrier D,47.28,Supplier 2,Delhi,14,173,16,17.25,Pending,2.797,Rail,Route C,133.09,Summer,1.5459760122564232
skincare,SKU57,82.61,22,18,1486.98,Non-binary,17,13,15,7,Carrier E,11.45,Supplier 3,Bangalore,13,517,12,26.89,Pass,1.3,Rail,Route A,115.51,Summer,1.3837245613073668
haircare,SKU18,7.74,34,24,185.76,Male,16,27,20,5,Carrier D,19.81,Supplier 2,Delhi,27,445,14,46.5,Pending,3.431,Rail,Route C,179.53,Fall,0.998654757277871
skincare,SKU39,80.31,71,26,2088.06,Unknown,47,29,30,5,Carrier C,45.09,Supplier 3,Mumbai,29,725,16,33.48,Fail,2.083,Air,Route B,320.04,Spring,0.9228215736889789
haircare,SKU59,6.1,157,139,847.9,Unknown,53,16,25,5,Carrier C,58.08,Supplier 2,Delhi,16,809,8,18.72,Fail,2.066,Air,Route C,294.58,Fall,0.9621550658506083
haircare,SKU22,49.47,129,9,445.23,Non-binary,42,15,39,4,Carrier C,83.82,Supplier 1,Delhi,15,143,6,44.17,Fail,4.127,Air,Route C,450.97,Fall,0.9209159803134723
skincare,SKU89,24.77,114,62,1535.74,Unknown,109,29,28,8,Carrier B,24.19,Supplier 3,Bangalore,29,431,8,30.84,Fail,2.286,Road,Route A,477.37,Summer,1.3648151520527279
skincare,SKU66,59.31,56,25,1482.75,Unknown,51,28,13,5,Carrier E,32.24,Supplier 1,Mumbai,28,473,19,41.1,Pass,0.263,Rail,Route A,166.12,Spring,0.8154925008374383
haircare,SKU93,34.12,55,8,272.96,Non-binary,34,27,19,5,Carrier C,69.06,Supplier 2,Bangalore,27,529,5,47.54,Pass,1.304,Air,Route B,114.4,Summer,1.5299736847219725
haircare,SKU33,23.19,30,11,255.09,Male,27,12,24,7,Carrier B,30.31,Supplier 2,Delhi,12,875,17,14.82,Fail,3.795,Road,Route A,204.23,Winter,1.2941999472351238
haircare,SKU89,12.57,75,20,251.4,Non-binary,53,10,34,5,Carrier D,18.77,Supplier 2,Mumbai,10,492,9,30.79,Fail,4.075,Rail,Route C,466.62,Summer,1.5797076553714935
haircare,SKU17,46.31,146,140,6483.4,Non-binary,87,15,49,4,Carrier D,40.36,Supplier 1,Delhi,15,942,13,13.01,Pending,4.912,Rail,Route A,325.82,Summer,1.4326014036370447
haircare,SKU67,6.79,135,35,237.65,Male,35,27,39,4,Carrier C,45.21,Supplier 2,Delhi,27,656,11,40.36,Fail,3.612,Air,Route C,142.43,Summer,1.354332859825286
skincare,SKU22,37.06,126,48,1778.88,Female,87,17,10,6,Carrier A,45.53,Supplier 2,Delhi,17,450,14,22.08,Pending,4.417,Road,Route B,476.03,Winter,1.3018992322388443
haircare,SKU91,40.15,74,53,2127.95,Unknown,51,18,7,9,Carrier B,22.66,Supplier 3,Bangalore,18,959,7,20.18,Pass,0.104,Road,Route B,131.37,Fall,1.0823252223473734
skincare,SKU56,80.13,109,95,7612.35,Non-binary,40,22,2,7,Carrier E,9.43,Supplier 3,Delhi,22,719,6,42.89,Pending,3.642,Rail,Route C,245.15,Fall,0.9112772609711348
skincare,SKU17,73.76,112,63,4646.88,Female,81,15,29,3,Carrier E,33.25,Supplier 2,Mumbai,15,682,11,13.68,Pass,1.186,Rail,Route C,108.51,Spring,0.972367452358901
haircare,SKU87,16.74,29,23,385.02,Unknown,13,24,28,2,Carrier C,18.93,Supplier 3,Mumbai,24,589,20,48.85,Pending,3.65,Air,Route C,396.27,Summer,1.4020798039786897
haircare,SKU11,16.55,41,21,347.55,Unknown,11,14,41,9,Carrier B,35.2,Supplier 1,Delhi,14,480,19,25.48,Fail,4.128,Road,Route A,457.08,Fall,0.9530307084276043
skincare,SKU98,39.67,58,11,436.37,Unknown,35,11,34,2,Carrier C,18.63,Supplier 1,Delhi,11,127,17,39.45,Pass,0.591,Air,Route A,276.39,Summer,1.444737035103446
skincare,SKU41,90.99,85,30,2729.7,Male,81,20,2,4,Carrier E,27.06,Supplier 1,Bangalore,20,634,17,25.13,Fail,3.802,Rail,Route A,161.72,Winter,1.371375643694988
haircare,SKU29,33.0,192,188,6204.0,Male,56,15,17,6,Carrier E,45.99,Supplier 3,Mumbai,15,256,14,42.56,Pending,2.144,Rail,Route A,407.83,Summer,1.5947863279949555
skincare,SKU85,55.79,159,122,6806.38,Male,49,25,18,1,Carrier C,20.73,Supplier 2,Bangalore,25,758,12,38.44,Pending,3.634,Air,Route A,211.06,Fall,1.09345016271212
skincare,SKU60,52.03,139,137,7128.11,Female,73,15,28,1,Carrier C,10.05,Supplier 3,Delhi,15,340,10,18.57,Fail,4.742,Air,Route A,194.55,Spring,0.9591200280957063
skincare,SKU13,59.02,133,38,2242.76,Non-binary,83,12,18,4,Carrier C,94.69,Supplier 2,Mumbai,12,902,17,20.93,Fail,3.293,Air,Route B,163.76,Summer,1.37559725304643
skincare,SKU86,68.3,21,13,887.9,Female,17,24,11,6,Carrier D,48.08,Supplier 2,Bangalore,24,451,14,37.88,Pass,1.044,Rail,Route C,355.17,Summer,1.4270800800954775
haircare,SKU62,17.71,172,48,850.08,Male,96,12,38,3,Carrier C,18.39,Supplier 1,Bangalore,12,781,6,41.96,Pending,2.415,Air,Route A,491.34,Spring,0.9943824033652184
haircare,SKU7,39.83,20,18,716.94,Female,20,22,16,7,Carrier D,26.13,Supplier 1,Delhi,22,618,7,28.29,Fail,3.411,Rail,Route C,489.41,Spring,0.9484903878115565
skincare,SKU97,94.67,186,108,10224.36,Unknown,21,15,26,4,Carrier C,68.63,Supplier 2,Mumbai,15,813,7,25.63,Fail,4.223,Air,Route C,339.34,Spring,1.0929626488994666
skincare,SKU35,88.68,162,74,6562.32,Non-binary,138,14,50,7,Carrier D,36.66,Supplier 3,Bangalore,14,750,6,44.88,Pass,0.967,Rail,Route C,127.57,Winter,1.318915911591986
skincare,SKU64,67.06,37,37,2481.22,Female,26,20,23,7,Carrier E,38.29,Supplier 3,Delhi,20,567,16,36.26,Fail,2.638,Rail,Route A,268.52,Fall,0.9628937743349042
skincare,SKU73,25.03,75,18,450.54,Female,59,30,20,3,Carrier C,84.05,Supplier 3,Mumbai,30,562,5,14.15,Fail,2.981,Air,Route A,445.99,Summer,1.5187456353747437
haircare,SKU48,9.76,146,131,1278.56,Unknown,14,17,24,7,Carrier A,33.91,Supplier 1,Bangalore,17,591,10,30.74,Pass,1.225,Road,Route B,458.99,Winter,1.4285272242773026
skincare,SKU63,87.48,21,7,612.36,Unknown,21,27,18,5,Carrier C,15.22,Supplier 1,Delhi,27,473,17,12.63,Pass,0.575,Air,Route C,148.28,Fall,0.9869990040818092
haircare,SKU6,19.29,145,26,501.54,Unknown,97,15,21,5,Carrier E,19.33,Supplier 3,Delhi,15,490,17,49.8,Pass,1.18,Rail,Route A,186.78,Winter,1.380132739568175
skincare,SKU87,38.14,132,92,3508.88,Unknown,30,13,50,6,Carrier A,27.49,Supplier 2,Bangalore,13,569,9,12.52,Pending,3.095,Road,Route A,153.34,Summer,1.4347579267726256
skincare,SKU19,83.6,48,9,752.4,Male,30,29,8,5,Carrier B,13.03,Supplier 1,Bangalore,29,155,18,42.6,Pass,0.393,Road,Route A,169.73,Summer,1.380154186640272
skincare,SKU54,77.92,158,52,4051.84,Female,140,7,28,10,Carrier A,44.7,Supplier 1,Bangalore,7,501,12,33.52,Pass,0.505,Road,Route C,332.47,Spring,0.8180902870390221
haircare,SKU9,11.25,177,62,697.5,Non-binary,147,8,19,3,Carrier C,39.96,Supplier 3,Mumbai,8,986,14,49.18,Fail,3.786,Air,Route B,273.21,Summer,1.473244142058792
haircare,SKU85,13.46,71,49,659.54,Non-binary,37,18,50,3,Carrier C,49.67,Supplier 2,Delhi,18,943,5,33.57,Fail,2.695,Air,Route B,496.87,Summer,1.5482126639119707
skincare,SKU43,52.83,14,6,316.98,Non-binary,14,14,13,6,Carrier A,38.6,Supplier 1,Mumbai,14,126,18,33.17,Fail,3.788,Road,Route C,219.6,Winter,1.373286497321919
skincare,SKU19,47.6,185,24,1142.4,Non-binary,97,8,11,5,Carrier D,25.71,Supplier 3,Mumbai,8,856,11,41.25,Pass,0.442,Rail,Route A,479.26,Fall,0.9984015584568567
skincare,SKU89,50.31,67,62,3119.22,Unknown,37,25,43,8,Carrier B,17.26,Supplier 1,Mumbai,25,681,20,31.48,Pass,0.564,Road,Route B,368.46,Fall,0.9750018092757252
haircare,SKU17,8.84,118,34,300.56,Unknown,63,15,34,6,Carrier A,18.32,Supplier 2,Mumbai,15,350,20,24.55,Pending,3.926,Road,Route B,380.52,Summer,1.452000287781511
skincare,SKU49,60.7,154,78,4734.6,Non-binary,34,17,27,5,Carrier C,93.41,Supplier 1,Mumbai,17,572,11,44.67,Pending,2.656,Air,Route A,411.38,Winter,1.2270808626118488
haircare,SKU91,47.16,191,59,2782.44,Male,35,27,40,7,Carrier B,43.7,Supplier 3,Delhi,27,103,14,25.08,Pending,3.843,Road,Route C,172.53,Fall,1.0306618212233554
haircare,SKU52,11.13,84,51,567.63,Male,54,23,35,2,Carrier C,94.2,Supplier 3,Delhi,23,394,20,12.74,Pending,3.585,Air,Route B,431.07,Winter,1.4493556926976863
haircare,SKU80,49.82,95,83,4135.06,Male,41,29,38,5,Carrier E,45.94,Supplier 3,Bangalore,29,506,7,48.72,Pass,1.912,Rail,Route B,414.79,Summer,1.5913298159756577
haircare,SKU68,39.83,146,120,4779.6,Male,136,19,41,2,Carrier C,13.54,Supplier 2,Bangalore,19,342,17,46.69,Pass,0.34,Air,Route A,428.58,Summer,1.5854597884287456
haircare,SKU50,30.9,117,108,3337.2,Unknown,81,28,23,3,Carrier E,21.19,Supplier 1,Delhi,28,319,10,34.72,Fail,2.786,Rail,Route B,250.96,Spring,0.9977555478783526
skincare,SKU67,49.84,97,42,2093.28,Unknown,74,24,27,3,Carrier D,23.66,Supplier 2,Delhi,24,989,7,31.13,Pending,2.735,Rail,Route A,110.61,Summer,1.4913686734958382
haircare,SKU98,5.42,23,17,92.14,Female,23,8,13,2,Carrier C,83.68,Supplier 3,Mumbai,8,863,19,37.51,Pass,1.288,Air,Route C,258.77,Spring,0.9245350478499959
