Date,Product type,SKU,Price,Availability,Number of products sold,Customer demographics,Stock levels,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates,Transportation modes,Routes,Costs,Season,Demand Factor
2023-01-01,haircare,SKU47,32.97274439391218,87,46,Male,58,6,31,2,Carrier B,25.995396920395564,Supplier 1,Kolkata,681,18,48.28696935565958,Fail,0.5886316276131738,Road,Route B,313.91453556841543,Winter,1.3321146723081463
2023-01-01,skincare,SKU48,40.52981594842822,74,40,Non-binary,84,11,46,5,Carrier A,17.385046344427888,Supplier 3,Kolkata,466,16,35.1786496088878,Pass,0.6550869550451361,Road,Route A,204.68428658543775,Summer,1.2010846841666314
2023-01-01,skincare,SKU49,61.6220280819336,122,63,Female,50,14,11,6,Carrier B,14.4983347255091,Supplier 2,Mumbai,868,6,42.85108817589648,Pass,2.902918481572855,Road,Route B,321.8052399704021,Fall,0.9475091612520585
2023-01-01,skincare,SKU50,71.95750883901184,127,27,Female,92,13,40,3,Carrier A,18.364141054156878,Supplier 1,Kolkata,551,19,68.90888654695401,Fail,2.4031314592687085,Air,Route A,337.54351921483146,Fall,1.3401058028229276
2023-01-02,skincare,SKU47,56.991670746223654,140,55,Non-binary,25,5,39,6,Carrier C,12.882789041208703,Supplier 4,Delhi,500,5,45.673989969747865,Fail,1.8263345210783895,Air,Route C,279.35072275354264,Spring,1.2166378486648943
2023-01-02,haircare,SKU48,67.3452535328077,67,14,Unknown,89,9,37,6,Carrier A,14.911446477159426,Supplier 4,Delhi,483,9,42.21497635382637,Pending,1.1847718147732387,Road,Route B,169.07037493994108,Fall,1.3997116796634679
2023-01-02,skincare,SKU49,48.957484126012936,92,50,Unknown,50,14,28,1,Carrier B,29.130706698140695,Supplier 4,Delhi,487,13,41.6777774089519,Pass,1.0941375296883273,Rail,Route B,247.35748918118352,Winter,0.9386266343500491
2023-01-02,skincare,SKU50,99.50337459413939,110,24,Unknown,92,4,44,5,Carrier A,29.62726268810662,Supplier 2,Delhi,712,5,52.77977491637249,Pending,1.7106125385430768,Road,Route C,254.22762524003824,Fall,0.9175805532178526
2023-01-03,skincare,SKU47,54.96313440765228,119,49,Male,63,7,30,3,Carrier B,11.71698082855622,Supplier 3,Kolkata,967,7,61.339672954874494,Pass,1.4620484226165487,Air,Route C,167.34483840260833,Summer,1.030225305870625
2023-01-03,haircare,SKU48,26.402742401037635,134,49,Male,72,12,38,3,Carrier A,18.223697493615603,Supplier 3,Bangalore,738,7,45.10306889148283,Fail,1.5159523018056005,Air,Route B,226.77401011729037,Fall,0.9770604680355109
2023-01-03,skincare,SKU49,85.70375476932364,73,58,Female,83,9,43,1,Carrier A,17.627951066915394,Supplier 3,Bangalore,419,13,53.13780850516936,Fail,2.5143365740047057,Rail,Route A,254.8544404188301,Fall,1.0409225411770187
2023-01-03,skincare,SKU50,48.11328046240451,141,40,Non-binary,22,4,46,2,Carrier B,19.229265762336183,Supplier 2,Mumbai,456,9,64.51808800450863,Pass,2.7662411873586454,Road,Route B,335.2074270160814,Summer,0.9339215016797372
2023-01-04,skincare,SKU47,27.447035020242645,110,53,Non-binary,99,13,19,2,Carrier B,21.429177426905234,Supplier 3,Bangalore,851,16,38.657928470568265,Pending,1.2372652306561875,Air,Route A,328.4288005901231,Spring,1.1982646372850203
2023-01-04,haircare,SKU48,22.574216278066785,54,41,Female,76,9,40,3,Carrier C,27.024935019628785,Supplier 1,Mumbai,509,13,68.7284593204365,Fail,1.0284505182959751,Rail,Route C,175.09574770705754,Spring,0.8506020134631256
2023-01-04,skincare,SKU49,48.1239261837993,81,51,Male,58,11,11,1,Carrier B,22.467029127705878,Supplier 4,Bangalore,876,9,34.77880122780918,Pending,0.5873170300762055,Air,Route B,302.92839150066845,Spring,1.0327288766809077
2023-01-04,haircare,SKU50,43.836493597281745,54,31,Non-binary,93,8,33,6,Carrier A,13.6069002656099,Supplier 1,Delhi,770,5,65.6815039297208,Fail,2.1651474094472007,Rail,Route C,341.2944183272806,Winter,0.8206366165590482
2023-01-05,skincare,SKU47,68.05986899763647,97,57,Female,58,2,23,4,Carrier B,24.933264335183587,Supplier 3,Bangalore,748,17,30.74368379761326,Fail,2.7105169674173704,Road,Route C,323.4654231241491,Fall,1.2384318531862555
2023-01-05,skincare,SKU48,58.276554333447734,111,56,Non-binary,69,1,25,3,Carrier C,10.338930140482487,Supplier 4,Kolkata,953,18,58.28857225812183,Pending,1.0441699665044133,Road,Route C,206.8493185919002,Summer,0.8834317694489101
2023-01-05,skincare,SKU49,24.83858705249549,56,58,Female,51,11,22,2,Carrier B,17.82638891706867,Supplier 3,Mumbai,481,17,35.69271269474313,Pending,1.2428276492925936,Road,Route C,216.11896314134987,Winter,1.0187113332887563
2023-01-05,haircare,SKU50,25.120836988904802,110,21,Female,86,12,21,3,Carrier B,28.417435552921688,Supplier 1,Kolkata,820,19,54.51503495094173,Pass,1.0701441744751699,Rail,Route B,185.16852484899582,Winter,1.465499513838114
2023-01-06,haircare,SKU47,43.60232940295483,103,20,Non-binary,96,10,36,5,Carrier B,13.454131964225216,Supplier 3,Kolkata,897,12,63.28710734236025,Fail,2.8476288971977786,Air,Route A,194.27208005475526,Summer,0.9003183350363736
2023-01-06,skincare,SKU48,41.61239873669437,143,16,Male,74,1,24,4,Carrier A,19.554765279590132,Supplier 1,Mumbai,660,15,39.13319460540959,Pass,1.1662435482674782,Road,Route A,231.3245254367933,Fall,0.9859266986834614
2023-01-06,haircare,SKU49,42.46874260535591,125,19,Male,65,13,20,2,Carrier C,19.796998692292448,Supplier 3,Mumbai,789,16,59.295516506139215,Pass,0.5199518122071494,Rail,Route B,151.18406044904418,Winter,1.2699961713002557
2023-01-06,haircare,SKU50,82.96977273094552,145,55,Unknown,75,8,27,6,Carrier C,27.1670893565342,Supplier 3,Mumbai,820,14,54.908981815420276,Pass,2.6062160250045987,Air,Route A,179.88168265718278,Fall,1.150400637362964
2023-01-07,haircare,SKU47,36.578368708319346,72,15,Male,94,8,17,4,Carrier A,20.585482613247663,Supplier 2,Mumbai,686,6,66.5652061142351,Pass,1.8134838175741559,Rail,Route C,205.85868279161986,Fall,0.8007478056666633
2023-01-07,haircare,SKU48,62.30548508075212,136,15,Non-binary,34,9,45,1,Carrier B,28.798236383275544,Supplier 1,Delhi,747,14,48.87415488804631,Fail,2.0818323540482138,Rail,Route B,195.4257719022861,Summer,0.8551199780556351
